id,test,category,question,option_a,option_b,option_c,option_d,answer,explanation
810,22,Government and Law,What is a constituency?,The geographical area represented by a single member of Parliament,A department of the civil service,A committee of the House of Lords,A meeting of party members,A,"A constituency is the area, with roughly comparable numbers of electors, that a single member of Parliament represents in the House of Commons. Voters in each constituency choose one member at a general election, and that member is expected to represent the interests of everyone living there, not only those who voted for them or who belong to their party. Members hold regular surgeries at which constituents can raise problems, and anyone may write to their member about a concern. Boundaries are reviewed periodically by independent commissions so that constituencies remain broadly equal in size as populations shift. Constituencies vary in area enormously, from a few square miles in cities to vast rural seats."
811,31,Government and Law,Which electoral system is used for UK general elections?,Proportional representation by party list,First past the post,The single transferable vote,The additional member system,B,"General elections to the House of Commons use the first past the post system, under which the candidate receiving the most votes in each constituency is elected, even if that is less than half of the votes cast. The system tends to produce single-party majority governments and a strong link between a member and a particular area, but it can leave the national distribution of seats out of proportion to the votes cast. Other systems are used elsewhere in the United Kingdom: the Scottish Parliament uses an additional member system, the Senedd has been elected by a closed-list proportional system since 2026, and Northern Ireland uses the single transferable vote."
812,23,Government and Law,How often must a general election be held at the latest?,At least every five years,Every seven years,Only when the monarch decides,Every three years,A,"A general election must be held at least every five years, and in practice a Prime Minister may seek an earlier dissolution of Parliament, in which case the monarch grants it on that advice. Elections are traditionally held on a Thursday. When a government loses the confidence of the House of Commons, an election commonly follows. After the election, the leader of the party able to command a majority is appointed Prime Minister by the monarch. Where no party wins an overall majority, the result is a hung parliament, which may lead to a coalition or to a minority government relying on support from others."
813,12,Government and Law,Who appoints the Prime Minister?,The House of Lords by a vote,The Speaker of the House of Commons,"The electorate, who vote for the Prime Minister directly","The monarch, by convention choosing the person able to command a Commons majority",D,"The monarch formally appoints the Prime Minister, but by long-standing convention the choice is not a personal one: the sovereign appoints whoever is best placed to command the confidence of the House of Commons, which is normally the leader of the party with the most seats. Voters do not vote for a Prime Minister directly; they elect a member of Parliament for their own constituency. This is why a change of party leader between elections can produce a new Prime Minister without a general election. The Prime Minister then appoints ministers, who are likewise formally appointed by the monarch on that advice."
814,44,Government and Law,What is the Cabinet?,The committee of senior ministers who take the most important government decisions,The staff of the Prime Minister's private office,The body that appoints judges,A committee of the House of Lords,A,"The Cabinet is the group of around twenty senior ministers chosen by the Prime Minister, most of whom head major government departments, and it meets weekly to take collective decisions on policy. Members are bound by collective responsibility, meaning that they must publicly support decisions once taken or else resign. Key posts include the Chancellor of the Exchequer, responsible for the economy and taxation, the Home Secretary, responsible for policing and immigration, the Foreign Secretary and the Secretaries of State for health, education and defence. Ministers are drawn from the House of Commons and the House of Lords and are accountable to Parliament."
815,28,Government and Law,Which minister is responsible for the economy and taxation?,The Foreign Secretary,The Lord Chancellor,The Home Secretary,The Chancellor of the Exchequer,D,"The Chancellor of the Exchequer heads the Treasury and is responsible for the public finances, including taxation, government spending and economic policy, and delivers the annual Budget statement to the House of Commons. The Chancellor lives at 11 Downing Street, next door to the Prime Minister. The Home Secretary is responsible for policing, immigration, security and crime, the Foreign Secretary for international relations, and the Lord Chancellor, who is also usually the Justice Secretary, for the courts and the legal system. These offices, with the Prime Minister, are traditionally regarded as the most senior positions in government. The Chancellor traditionally holds up a red despatch box before delivering the Budget."
816,21,Government and Law,Which minister is responsible for policing and immigration?,The Defence Secretary,The Home Secretary,The Chancellor of the Exchequer,The Foreign Secretary,B,"The Home Secretary heads the Home Office and is responsible for policing in England and Wales, national security and counter-terrorism, immigration, borders, citizenship and crime policy. Decisions about naturalisation and settlement, and the rules governing the Life in the UK test, fall within that department's remit. Policing and justice are devolved in Scotland and Northern Ireland, so the Home Secretary's writ does not run in those areas. The Foreign Secretary handles relations with other countries and consular services, the Defence Secretary the armed forces, and the Chancellor of the Exchequer taxation and public spending. The department also oversees the passport service and the issuing of visas. It is one of the largest and most demanding offices in government."
817,36,Government and Law,What is the role of the Speaker of the House of Commons?,To draft all new legislation,To advise the monarch on appointments,To lead the largest political party,To chair debates impartially and maintain order in the chamber,D,"The Speaker presides over debates in the House of Commons, calls members to speak, rules on points of order and procedure, and can discipline members who break the rules of the House, including by ordering them to withdraw. Once elected by fellow members the Speaker gives up party allegiance entirely and must be seen to be impartial, and by convention the main parties do not campaign against the Speaker at a general election. The Speaker also represents the Commons in dealings with the Lords, the crown and outside bodies. Deputy Speakers share the work of chairing the House. The Speaker votes only to break a tie, and then according to established conventions."
818,32,Government and Law,What is the House of Lords?,The elected chamber of Parliament,A committee of the Cabinet,"The second chamber of Parliament, which scrutinises and revises legislation",A court of appeal for criminal cases,C,"The House of Lords is the second chamber of the United Kingdom Parliament. Its members are not elected: most are life peers appointed for their experience and expertise, and a group of Church of England bishops sit as the Lords Spiritual. The remaining hereditary peers lost the right to sit under an Act of 2026. The Lords examine and revise bills sent from the Commons, scrutinise the work of government and conduct inquiries through committees. They can delay legislation and ask the Commons to think again, but under the Parliament Acts they cannot ultimately block a bill the elected house is determined to pass, particularly in matters of taxation and spending."
819,20,Government and Law,How do most members of the House of Lords obtain their seats?,They are elected by the public,They inherit their seats in every case,They are appointed as life peers,They are chosen by the Speaker,C,"The majority of members of the House of Lords are life peers, appointed on the advice of the Prime Minister, with some nominated by other party leaders and others recommended independently by the House of Lords Appointments Commission for their expertise in fields such as science, medicine, business, the armed forces or public service. A life peerage cannot be inherited. A limited number of hereditary peers retained seats after the reform of 1999 but lost them under an Act of 2026, and twenty-six senior Church of England bishops sit as the Lords Spiritual. Members who belong to no party sit as crossbenchers, which is unusual among second chambers internationally."
820,26,Government and Law,How does a bill become law in the UK?,It passes through both Houses of Parliament and receives royal assent,It is issued as an order by the Cabinet,It is signed by the Prime Minister alone,It is approved by a public referendum,A,"A proposed law, known as a bill, is normally introduced in the House of Commons and goes through several stages: a first reading, a second reading with a debate on the principle, a committee stage at which it is examined line by line and amendments are considered, a report stage and a third reading. It then goes through comparable stages in the House of Lords, and any disagreements are resolved by passing the bill between the two houses. Once both agree, the bill receives royal assent from the monarch and becomes an Act of Parliament, though its provisions may come into force on a later date."
821,16,Government and Law,What is royal assent?,Permission from the monarch to hold an election,The monarch's power to veto any legislation at will,The monarch's formal approval that turns a bill into an Act of Parliament,A ceremony marking the opening of the legal year,C,"Royal assent is the final stage in the passage of legislation, when the monarch formally approves a bill that both Houses of Parliament have passed, turning it into an Act. It is now a constitutional formality: no monarch has refused assent since the early eighteenth century, and the sovereign acts on the advice of ministers. The requirement nonetheless reflects the constitutional principle that laws are made by the Crown in Parliament. Similar arrangements apply to legislation passed by the Scottish Parliament, the Senedd and the Northern Ireland Assembly within their devolved competences. The formal words of assent are still recorded in Norman French, a survival from medieval practice. Once given, the Act is printed and published as law. Assent is announced to both Houses by their presiding officers."
822,17,Government and Law,What is the State Opening of Parliament?,A ceremony at which the monarch sets out the government's legislative programme,The election of the Speaker,The annual Budget statement,The first sitting of a new Cabinet,A,"The State Opening of Parliament marks the beginning of a parliamentary session. The monarch travels in a state coach to the House of Lords and delivers a speech, written by the government, setting out the legislation ministers intend to bring forward. Members of the Commons are summoned to the Lords by an official known as Black Rod, whose knock on the closed door of the Commons chamber symbolises that house's independence from the crown. Debate on the contents of the speech follows over several days. The ceremony also includes a traditional search of the cellars, recalling the Gunpowder Plot of 1605."
823,8,Government and Law,What is the role of the monarch in the British system of government?,"Head of state with ceremonial and formal duties, acting on ministers' advice","Head of government, taking day-to-day political decisions",The commander who decides military strategy,The chief judge of the Supreme Court,A,"The United Kingdom is a constitutional monarchy: the monarch is head of state but does not govern. The sovereign's functions include opening Parliament, giving royal assent to legislation, appointing the Prime Minister and other ministers, receiving foreign ambassadors and acting as a symbol of national continuity above party politics. These powers are exercised on the advice of ministers who are accountable to Parliament. The monarch is briefed on government business and meets the Prime Minister regularly, with the right, as one constitutional writer put it, to be consulted, to encourage and to warn, but not to overrule an elected government."
824,22,Government and Law,What is meant by parliamentary sovereignty?,Judges may strike down laws they consider unwise,Local councils can override national legislation,Parliament is the supreme law-making authority in the UK,The monarch may overrule any Act of Parliament,C,"Parliamentary sovereignty is the principle that Parliament is the supreme legal authority in the United Kingdom, able to make or repeal any law, and that no Parliament can bind its successors. The courts apply and interpret legislation but cannot strike down an Act of Parliament as unconstitutional, unlike in countries with an entrenched written constitution. They can, however, rule that a minister or public body has acted beyond its legal powers, and under the Human Rights Act they may declare legislation incompatible with convention rights, leaving it to Parliament to decide what to do about it. The principle has been much debated in relation to devolution, referendums and international treaties."
825,28,Government and Law,What is the Opposition in Parliament?,"The largest party not in government, which scrutinises and challenges ministers",Members of the House of Lords who oppose the monarch,A group of independent members with no party,The committee that examines public spending,A,"The Opposition is formed by the largest party that is not in government, and its leader is formally titled the Leader of His Majesty's Loyal Opposition, a title expressing the idea that opposing the government of the day is a legitimate and necessary part of the constitution rather than disloyalty to the state. The Opposition appoints a shadow cabinet, with spokespeople assigned to challenge each government department, and it is given time in the parliamentary timetable to choose subjects for debate. Its central function is to hold ministers to account and to present an alternative government to the electorate. Its leader receives a salary for the role and has a seat on the front bench opposite the Prime Minister."
826,41,Government and Law,What happens at Prime Minister's Questions?,MPs question the Prime Minister in the Commons chamber each sitting Wednesday,Journalists interview the Prime Minister on television,The public submits written questions to Downing Street,The Prime Minister questions the Cabinet in private,A,"Prime Minister's Questions is a weekly session in the House of Commons, normally held on Wednesdays when Parliament is sitting, at which members put questions to the Prime Minister. The Leader of the Opposition has a set number of questions and the exchanges are often noisy and adversarial, with the Speaker frequently calling for order. Backbench members from all parties also take part, often raising constituency matters. Other ministers answer questions on a rota for their own departments. The session is televised and broadcast and is one of the most visible forms of parliamentary accountability. The session lasts around half an hour and is one of the best attended events in the parliamentary week. Deputies stand in when the Prime Minister is abroad."
827,32,Government and Law,What are select committees?,Committees that draft all legislation,Panels that appoint senior judges,Meetings of party members to choose candidates,Cross-party groups of MPs or peers that examine the work of government departments,D,"Select committees are groups of members, drawn from different parties in rough proportion to their strength in the House, which scrutinise the work, policy and spending of particular government departments or investigate broader subjects. They take evidence from ministers, officials, experts and members of the public, and publish reports to which the government must respond. Their hearings are usually held in public and often receive media attention. Chairs are elected by fellow members rather than appointed by party leaders, which has increased their independence, and the committees are regarded as one of the more effective checks on the executive. Both Houses operate committees, and those in the Lords often examine longer-term or cross-cutting questions."
828,35,Government and Law,What is the civil service?,Elected officials in local government,The staff employed directly by political parties,Members of the armed forces in administrative roles,Politically neutral officials who carry out government policy and advise ministers,D,"The civil service consists of officials employed by government departments to advise ministers and to implement policy, and it is politically neutral and permanent, remaining in place when governments change. Civil servants are appointed on merit through open competition rather than by political patronage, and they are expected to serve whichever party is in office with equal commitment, offering honest advice in private and carrying out decisions loyally in public. Their core values are integrity, honesty, objectivity and impartiality. Senior officials appear before parliamentary committees, although ministers remain constitutionally accountable to Parliament for their departments. Departments are led politically by ministers but managed day to day by a senior official known as a permanent secretary."
829,3,Government and Law,What is the role of party whips?,To chair debates in the House of Commons,To draft bills on behalf of the government,To organise their party's members in Parliament and encourage them to vote with the party,To appoint government ministers,C,"Whips are members of Parliament appointed by their party to manage its business in the House, ensure that members attend important votes and persuade them to support the party line. The name comes from hunting, where a whipper-in kept the hounds together. Each week members receive a document, also called the whip, listing forthcoming business with underlining to show the importance of each vote, a three-line whip being the most insistent. Members who defy a strong whip may face sanctions, including in serious cases having the whip withdrawn, which means being expelled from the parliamentary party. Whips also arrange pairing, by which members on opposite sides agree to be absent together."
830,33,Government and Law,What is a backbencher?,A civil servant advising the Cabinet,A member of the House of Lords,An MP who is not a minister or a shadow minister,A candidate who lost an election,C,"Backbenchers are members of Parliament who hold no ministerial or shadow ministerial office, and the name comes from their seats on the benches behind the front benches occupied by ministers and their opposition counterparts. They question ministers, serve on select committees and public bill committees, represent their constituents, and can introduce private members' bills, a small number of which become law each year. Because governments depend on their own backbenchers for votes, organised backbench opinion can have considerable influence over policy, and rebellions on the government side are carefully watched. A committee of backbench members helps decide which subjects are debated in their allotted time. Many ministers begin and end their careers on the back benches."
831,11,Government and Law,What is Hansard?,A committee examining public accounts,The library of the House of Commons,The official published record of debates in Parliament,The building where select committees meet,C,"Hansard is the official report of proceedings in both Houses of Parliament, recording substantially what was said in debates along with the results of votes and written answers to questions. It takes its name from Thomas Hansard, an early printer of parliamentary reports. It is published promptly and is freely available online, so that anyone can read exactly what their representatives said and how they voted. Devolved legislatures publish equivalent records. Parliamentary proceedings are also televised and streamed, and the public may attend debates in the galleries or arrange a visit through their member of Parliament. Corrections are limited to obvious errors, so the record cannot be used to tidy up what was said."
832,11,Government and Law,How can a member of the public raise an issue with their MP?,"By writing, emailing or attending a constituency surgery",By applying to the Speaker for permission,Only by petitioning the monarch,Only through a solicitor,A,"Anyone may contact the member of Parliament for the constituency in which they live, whether or not they voted for them and regardless of whether they are entitled to vote at all. Members hold surgeries, usually at regular intervals in the constituency, where people can discuss problems in person, and they also receive letters and emails in large numbers. A member may take up a case with a government department, raise a matter in the House, or write to a minister. Members cannot intervene in the decisions of the courts, which are independent, nor in matters devolved to another legislature."
833,14,Government and Law,What is a petition to Parliament?,A legal action brought against the government,"A formal request signed by members of the public, which may lead to a debate",A document appointing a new minister,A form used to register as a voter,B,"Petitions allow members of the public to ask Parliament or the government to take action. Petitions can be submitted online through an official site, and those attracting a specified number of signatures receive a response from the government, while those passing a higher threshold are considered for debate in Parliament. Paper petitions can also be presented by a member of Parliament on behalf of constituents. The system gives citizens a direct means of raising concerns between elections, alongside writing to a member, joining a campaign group, taking part in lawful demonstrations and, most fundamentally, voting. Petitions must relate to something the government or Parliament is actually responsible for."
834,13,Government and Law,What is a pressure group?,An organisation that campaigns to influence government policy on particular issues,A group of civil servants advising ministers,A body that runs elections,A committee of the House of Lords,A,"Pressure groups, sometimes called interest or campaigning groups, seek to influence public policy on particular questions without themselves seeking to form a government. They include environmental organisations, charities, trade associations, professional bodies, trade unions and campaigns on single issues, and they operate by lobbying ministers and members of Parliament, giving evidence to committees, publishing research, organising petitions and demonstrations and working through the media. Their activity is a normal and legitimate part of a democratic system, and there are rules requiring transparency about paid lobbying and about donations to political parties. Membership of such organisations is another way of taking part in public life between elections. Some groups have memberships larger than those of the political parties."
835,25,Government and Law,Which of these is a major political party in the UK?,The Republican Party,The Federalist Party,The Conservative Party,The Christian Democratic Union,C,"The main political parties operating across Great Britain are the Conservative Party, the Labour Party and the Liberal Democrats, with the Green Party and Reform also contesting seats. Scotland and Wales have significant nationalist parties in the Scottish National Party and Plaid Cymru, while Northern Ireland has an entirely separate party system that includes the Democratic Unionist Party, Sinn Féin, the Alliance Party, the Ulster Unionist Party and the Social Democratic and Labour Party. Members of Parliament who belong to no party sit as independents. Anyone may join a political party, and parties select their own candidates for election. Party membership is open to anyone who supports the aims of the party and pays a subscription."
836,17,Government and Law,What is a hung parliament?,A parliament suspended by the monarch,A parliament that has been dissolved before an election,A parliament in which no single party has an overall majority of seats,A parliament in which the Speaker has resigned,C,"A hung parliament occurs when no party wins more than half the seats in the House of Commons at a general election. The parties then negotiate, and the outcome may be a formal coalition, in which two or more parties govern together and share ministerial posts, or a minority government that relies on case-by-case support or on an agreement with a smaller party. A coalition between the Conservatives and Liberal Democrats governed from 2010 to 2015. First past the post usually produces majorities, so hung parliaments have been relatively rare, though they have occurred several times in recent decades. Talks between parties after such a result can take days, and the existing government remains in office meanwhile."
837,18,Government and Law,What is meant by 'the Crown' in a constitutional sense?,The jewels kept at the Tower of London,The Church of England's governing body,"The state's executive authority, exercised by ministers in the monarch's name",The personal wealth of the royal family,C,"In constitutional language the Crown means the institution of the state rather than the person of the monarch or the physical regalia. Prosecutions are brought in the name of the Crown, government departments act under Crown authority, civil servants are Crown servants, and ministers exercise certain prerogative powers on the Crown's behalf. This distinction explains phrases such as Crown Prosecution Service and Crown Court. The monarch personally retains only a small number of genuinely discretionary powers, exercising the rest on the advice of ministers who are answerable to Parliament and, through it, to the electorate. Crown land and Crown property are held by the state rather than owned personally by the monarch. Powers exercised in the Crown's name are known as the royal prerogative."
838,4,Government and Law,Where does the UK Parliament meet?,Downing Street,Buckingham Palace,The Palace of Westminster in London,Whitehall,C,"The United Kingdom Parliament meets in the Palace of Westminster beside the Thames in central London, a building rebuilt in Gothic style by Charles Barry and Augustus Pugin after fire destroyed most of the medieval palace in 1834. It contains the chambers of the House of Commons and the House of Lords, committee rooms, libraries and Westminster Hall, which survives from the eleventh century. The clock tower housing the bell known as Big Ben stands at its northern end. Downing Street contains the offices and residences of the Prime Minister and Chancellor, and Whitehall is the street where several government departments are located."
839,7,Government and Law,What is the significance of Westminster Hall?,It is the meeting place of the Supreme Court,It is the chamber where the Commons debates,It is the residence of the Speaker,It is the oldest part of the Palace of Westminster and has hosted trials and lyings-in-state,D,"Westminster Hall dates from the end of the eleventh century and is the oldest surviving part of the Palace of Westminster, with a magnificent hammerbeam roof added in the fourteenth century. It housed the principal law courts of England for centuries and was the setting for historic trials, including those of Sir Thomas More and Charles I. Today it is used for ceremonial occasions, addresses by visiting heads of state, and the lying-in-state of monarchs, when the public files past the coffin. A separate chamber off the hall is used for additional Commons debates. Its roof, made of oak, is the largest medieval timber roof in northern Europe. The hall survived both the 1834 fire and wartime bombing."
840,41,Government and Law,What does it mean that the UK constitution is 'unwritten' or uncodified?,"It is not contained in a single document but found in statutes, case law and conventions",No constitutional rules exist at all,It has never been changed since 1689,It exists only as an oral tradition,A,"The United Kingdom has no single constitutional document. Its constitutional rules are found in Acts of Parliament such as the Bill of Rights, the Acts of Union, the Parliament Acts, the devolution statutes and the Human Rights Act; in decisions of the courts; in historic documents such as Magna Carta; and in conventions that are followed consistently though not legally enforceable, such as the convention that the monarch grants royal assent. Because constitutional rules can be changed by ordinary legislation, the arrangement is unusually flexible, which some regard as a strength and others as a weakness. Proposals for a codified constitution are periodically raised but have never been adopted."
841,43,Government and Law,What is a convention in the British constitution?,A rule set out in an Act of Parliament,A meeting of a political party's members,A treaty signed with another country,An established practice that is followed consistently although not legally enforceable,D,"Constitutional conventions are practices that are consistently observed and regarded as binding in political terms, even though the courts will not enforce them. Examples include the convention that the monarch acts on ministerial advice, that the Prime Minister sits in the House of Commons, that ministers who lose the confidence of the House resign, and that the Lords do not block manifesto commitments of an elected government. Conventions allow the constitution to develop without formal amendment, but because they depend on self-restraint and shared understanding, disputes about whether a convention exists or has been broken can be difficult to resolve."
842,3,Government and Law,Which document of 1689 limited the powers of the monarch?,The Act of Union,Magna Carta,The Human Rights Act,The Bill of Rights,D,"The Bill of Rights of 1689, passed after the Glorious Revolution, established that the monarch could not suspend or dispense with laws, levy taxes or maintain a standing army in peacetime without the consent of Parliament, and required frequent parliaments and free elections. It also guaranteed freedom of speech in parliamentary debate. Together with Magna Carta of 1215, which established that the ruler is subject to law, and the Act of Settlement of 1701, it forms part of the foundation of the British constitution. The Human Rights Act, passed in 1998, incorporated European Convention rights into domestic law. It was accepted by William and Mary as a condition of receiving the crown."
843,2,Government and Law,What are the two main functions of Parliament?,Deciding court cases and setting interest rates,Collecting taxes and commanding the armed forces,Running government departments and appointing judges,Making law and holding the government to account,D,"Parliament's central functions are to make and amend law and to scrutinise the work of the government, questioning ministers, debating policy, examining spending and investigating issues through committees. It also approves taxation and public expenditure, and it debates matters of national importance. Government departments are run by ministers and civil servants rather than by Parliament itself, judges are appointed through an independent process, court cases are decided by the judiciary, and interest rates are set independently by the Bank of England. This separation of roles is central to how power is distributed in the British system. It also represents constituents, who can raise concerns with their own member at any time. Debates on petitions and emergency questions allow urgent matters to be aired."
844,4,Government and Law,What is the Budget?,The Chancellor's annual statement on taxation and public spending,The monarch's speech at the opening of Parliament,A report by the Bank of England on interest rates,The Prime Minister's list of ministerial appointments,A,"The Budget is the statement delivered to the House of Commons by the Chancellor of the Exchequer setting out the government's plans for taxation and, alongside spending decisions, the management of the public finances. Changes to income tax, National Insurance, value added tax, duties on fuel, alcohol and tobacco, and allowances and thresholds are announced, and the measures then require the approval of Parliament through a Finance Bill. An independent body provides forecasts for the economy and the public finances alongside the statement. The requirement for parliamentary consent to taxation descends directly from the constitutional struggles of earlier centuries. Some announcements take effect immediately, while others begin at the start of the next tax year."
845,24,Government and Law,Who sets interest rates in the UK?,The House of Commons by vote,The Chancellor of the Exchequer directly,"The Bank of England, independently of ministers",Commercial banks acting together,C,"Since 1997 the Bank of England has set the official interest rate independently of government, through a Monetary Policy Committee that meets regularly and votes on whether to change the rate. Its objective is to keep inflation close to a target set by the government, currently expressed as an annual rate of two per cent, while supporting growth and employment. The arrangement was intended to remove short-term political considerations from monetary policy. The Bank is also responsible for issuing banknotes in England and Wales and, with other authorities, for the stability of the financial system. Minutes of the committee's meetings are published, showing how each member voted. The rate influences mortgage costs, savings returns and the value of the pound."
846,36,Government and Law,What is the National Audit Office responsible for?,Auditing the accounts of private companies,Collecting income tax from employers,Examining whether public money has been spent properly and effectively,Setting the annual Budget,C,"The National Audit Office scrutinises public spending on behalf of Parliament, auditing the accounts of government departments and public bodies and reporting on whether money has been spent lawfully and has delivered value. Its reports are examined by the Public Accounts Committee of the House of Commons, a select committee traditionally chaired by a senior opposition member, which questions officials in public about failures and waste. Together they form an important element of financial accountability. Similar bodies operate in Scotland, Wales and Northern Ireland to audit the spending of the devolved administrations. Its head, the Comptroller and Auditor General, is an officer of the House of Commons rather than a civil servant. Reports are published and are freely available to the public."
847,26,Government and Law,What is an Act of Parliament?,A law that has completed all parliamentary stages and received royal assent,A proposal for a law still being debated,A ruling by a senior court,A regulation issued by a government department,A,"An Act of Parliament is legislation that has passed through both Houses and received royal assent, and it represents the highest form of law in the United Kingdom. Before it becomes an Act it is known as a bill. Acts often confer power on ministers to make more detailed rules, known as secondary or delegated legislation, which is subject to a lighter parliamentary procedure. Courts interpret and apply Acts but cannot set them aside, though they may quash secondary legislation that exceeds the powers granted by the parent Act. Acts remain in force until repealed or amended by Parliament. Each Act carries the year it was passed, which is how statutes are conventionally cited."
848,14,Government and Law,What is a private member's bill?,A bill introduced by an MP or peer who is not a government minister,A bill debated only in the House of Lords,A bill that applies only to one individual,Legislation drafted by the civil service,A,"Private members' bills are introduced by backbench members of the Commons or by peers rather than by the government. Limited time is available for them, and most fail for want of time or government support, but a number have become law and some have brought about significant social change, including measures on abortion, the abolition of the death penalty and the decriminalisation of homosexual acts in the 1960s. Members are selected for priority by ballot at the start of a session. The government's own legislation, which occupies most of the parliamentary timetable, is known as public or government business. Supporters often need to gather enough members to prevent the bill being talked out."
849,6,Government and Law,What is a by-election?,An election for members of the House of Lords,A vote within a party to choose its leader,A general election called early by the Prime Minister,An election held in a single constituency when the seat becomes vacant,D,"A by-election is held in one constituency between general elections when the sitting member dies, resigns, is disqualified or is removed through a recall petition. Only voters in that constituency take part, and the result does not change the government directly unless the parliamentary arithmetic is extremely tight. By-elections often attract national attention as a test of the government's popularity, and turnout is usually lower than at a general election. A member cannot simply resign, and the vacancy is created through an archaic procedure involving appointment to a nominal crown office. Campaigns are intense, with parties concentrating activists from across the country in one seat. Governing parties have historically tended to lose ground at them."
850,21,Government and Law,What is the Electoral Commission?,The body that counts votes in each constituency,A committee of the House of Commons,The office that draws constituency boundaries,"An independent body overseeing elections, referendums and political finance",D,"The Electoral Commission is an independent body that regulates political finance, registers political parties, reports on the conduct of elections and referendums, sets standards for those running them and promotes voter registration and participation. It publishes details of donations to parties and can investigate and sanction breaches of the rules. Votes are counted locally by returning officers appointed in each area, and constituency boundaries are set by separate independent boundary commissions. Together these arrangements are intended to ensure that elections are administered fairly and transparently and that public confidence in them is maintained. It also produces guidance for candidates on spending limits during a campaign. Breaches of the finance rules can result in fines and, in serious cases, prosecution."
851,18,Government and Law,Who is entitled to vote in a UK general election?,"British, qualifying Commonwealth and Irish citizens aged 18 or over who are registered",Only people born in the United Kingdom,Only people who own property,Everyone resident in the UK regardless of nationality,A,"To vote in a United Kingdom general election a person must be aged eighteen or over on polling day, be registered on the electoral roll, and be a British citizen, a qualifying Commonwealth citizen or a citizen of the Republic of Ireland resident in the country. Citizens of other countries, including those with settled status, cannot vote in general elections, although some may vote in local and devolved elections depending on where they live. Members of the House of Lords and convicted prisoners serving sentences are among those excluded. Registration can be completed online and is normally required by law when requested."
852,28,Government and Law,What must voters in Great Britain now bring to a polling station?,An accepted form of photographic identification,Their National Insurance card,A letter from their employer,Their birth certificate,A,"Voters in Great Britain are now required to show an accepted form of photographic identification at a polling station before being given a ballot paper, following changes introduced in recent years. Accepted documents include a passport, a photocard driving licence, certain concessionary travel passes and a free voter authority certificate available to those without other identification. Photographic identification has been required in Northern Ireland for considerably longer. The change was intended to guard against personation, though critics argued that it risked deterring eligible voters, and its effects have been monitored by the Electoral Commission. Expired documents may still be accepted provided the photograph remains a good likeness. Postal voters are not affected by the requirement."
853,2,Government and Law,How can someone vote if they cannot attend a polling station?,They cannot vote at all,By voting online through a government website,By applying for a postal vote or appointing a proxy,By telephoning the returning officer on polling day,C,"Electors who cannot attend in person may apply for a postal vote, which is sent to them in advance and returned by post or delivered to the polling station, or they may appoint a proxy, someone they trust who attends the polling station and votes on their behalf according to their instructions. Postal voting is available to any registered elector on request in Great Britain, and it is widely used by people who are away, working long hours or find travel difficult. Voting online is not available for parliamentary elections. Polling stations are open from early morning until late evening on polling day."
854,23,Government and Law,What is a manifesto?,A statement issued by the monarch at the state opening,The official record of parliamentary debates,A document setting out what a political party promises to do if elected,A list of registered voters,C,"A manifesto is the document a political party publishes before an election setting out the policies it intends to pursue if it forms a government. Manifestos are scrutinised by journalists and opponents, and they matter constitutionally as well as politically: by convention the House of Lords does not block legislation that implements a commitment made in the winning party's manifesto, a practice known as the Salisbury convention. Parties are not legally bound to keep their promises, and circumstances may change, but failure to deliver on prominent commitments is a recurring subject of criticism and debate. Parties usually launch their manifestos at public events early in an election campaign."
855,34,Government and Law,What is the purpose of a referendum?,To put a specific question directly to the electorate for a decision,To appoint judges to the Supreme Court,To select a party leader,To choose members of Parliament,A,"A referendum asks voters to decide a single question directly rather than choosing representatives. Referendums are not a regular feature of the British system, since the United Kingdom is a parliamentary democracy, but they have been used for major constitutional questions, including membership of the European Communities in 1975, devolution for Scotland and Wales, the Belfast Agreement in Northern Ireland, the voting system in 2011, Scottish independence in 2014 and European Union membership in 2016. Each requires its own Act of Parliament, which sets the question and the rules, and the Electoral Commission oversees the conduct of the poll. Results have sometimes been advisory in strict legal terms but treated as binding in practice."
856,40,Government and Law,Which body reviews the boundaries of parliamentary constituencies?,Independent boundary commissions,The Prime Minister's office,The Electoral Commission,The House of Lords,A,"Separate independent boundary commissions for England, Scotland, Wales and Northern Ireland review the boundaries of parliamentary constituencies periodically, so that the number of electors in each remains broadly equal as populations move and change. They consult publicly on their proposals before final recommendations are made. Keeping the process independent is intended to prevent the manipulation of boundaries for party advantage. The Electoral Commission has a different role, regulating political finance and overseeing the administration of elections, while returning officers in each area are responsible for running the poll and counting the votes. Reviews can be controversial, since changes to boundaries may favour one party over another. Their recommendations must be approved before taking effect."
